transaction_id,customer_id,timestamp,date,time,description,payee,amount,channel,transaction_type
TX000001,C012,2026-03-01T06:24:00,2026-03-01,06:24:00,Online shopping,Amazon,13976.58,UPI,PURCHASE
TX000002,C012,2026-03-01T08:14:00,2026-03-01,08:14:00,Online shopping,Amazon,4199.89,UPI,PURCHASE
TX000003,C007,2026-03-01T08:50:00,2026-03-01,08:50:00,Supermarket purchase,Grocery Store,1245.31,UPI,GROCERY
TX000004,C019,2026-03-01T09:03:00,2026-03-01,09:03:00,Monthly salary credit,Employer,82982.89,BANK_TRANSFER,SALARY
TX000005,C001,2026-03-01T09:13:00,2026-03-01,09:13:00,Cab ride,Uber,3893.78,UPI,TRAVEL
TX000006,C001,2026-03-01T09:16:00,2026-03-01,09:16:00,Monthly salary credit,Employer,42108.6,BANK_TRANSFER,SALARY
TX000007,C010,2026-03-01T09:23:00,2026-03-01,09:23:00,ATM cash withdrawal,ATM,13966.15,ATM,WITHDRAWAL
TX000008,C009,2026-03-01T09:34:00,2026-03-01,09:34:00,Monthly salary credit,Employer,96260.24,BANK_TRANSFER,SALARY
TX000009,C002,2026-03-01T09:44:00,2026-03-01,09:44:00,Monthly salary credit,Employer,87621.31,BANK_TRANSFER,SALARY
TX000010,C003,2026-03-01T10:07:00,2026-03-01,10:07:00,Monthly salary credit,Employer,80081.19,BANK_TRANSFER,SALARY
TX000011,C009,2026-03-01T10:18:00,2026-03-01,10:18:00,Food delivery,Swiggy,1514.64,CARD,DINING
TX000012,C014,2026-03-01T10:32:00,2026-03-01,10:32:00,Monthly salary credit,Employer,108968.15,BANK_TRANSFER,SALARY
TX000013,C008,2026-03-01T10:38:00,2026-03-01,10:38:00,Monthly salary credit,Employer,66386.4,BANK_TRANSFER,SALARY
TX000014,C006,2026-03-01T10:43:00,2026-03-01,10:43:00,Monthly salary credit,Employer,93917.17,BANK_TRANSFER,SALARY
TX000015,C011,2026-03-01T10:49:00,2026-03-01,10:49:00,Monthly salary credit,Employer,82490.98,BANK_TRANSFER,SALARY
TX000016,C016,2026-03-01T10:51:00,2026-03-01,10:51:00,Monthly salary credit,Employer,52489.13,BANK_TRANSFER,SALARY
TX000017,C011,2026-03-01T11:08:00,2026-03-01,11:08:00,Weekly groceries,Grocery Store,3386.63,CARD,GROCERY
TX000018,C007,2026-03-01T11:12:00,2026-03-01,11:12:00,Monthly salary credit,Employer,89660.99,BANK_TRANSFER,SALARY
